"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ETERNAL","EQ","05-Jun-2026","254.35","253.35","258.80","252.80","256.75","256.50","256.03","3,42,07,436","8,75,82,12,863.45","1,66,230","1,63,89,243","47.91"
"ETERNAL","EQ","04-Jun-2026","247.00","244.50","258.65","244.45","254.40","254.35","254.43","3,66,90,161","9,33,49,88,190.80","1,98,230","1,58,34,390","43.16"
"ETERNAL","EQ","03-Jun-2026","250.75","248.00","249.45","244.50","246.65","247.00","247.15","2,51,92,315","6,22,63,16,520.60","2,40,159","1,13,91,320","45.22"
"ETERNAL","EQ","02-Jun-2026","248.10","244.05","252.50","242.70","250.50","250.75","249.13","3,38,11,873","8,42,36,56,194.50","1,95,425","1,84,78,362","54.65"
"ETERNAL","EQ","01-Jun-2026","250.58","251.10","253.85","247.50","248.30","248.10","249.31","1,91,29,575","4,76,92,29,328.55","1,31,158","1,00,65,579","52.62"
"ETERNAL","EQ","29-May-2026","256.51","256.75","257.10","249.41","251.99","250.58","252.69","5,19,89,116","13,13,73,39,355.29","2,46,580","3,53,92,096","68.08"
"ETERNAL","EQ","27-May-2026","250.17","251.09","258.88","251.09","255.71","256.51","255.61","3,66,61,755","9,37,10,86,625.90","2,33,300","1,77,12,689","48.31"
"ETERNAL","EQ","26-May-2026","247.67","247.50","253.04","245.80","251.00","250.17","250.63","2,44,47,430","6,12,72,60,127.62","1,52,654","1,19,26,653","48.78"
"ETERNAL","EQ","25-May-2026","241.95","244.00","249.35","244.00","247.50","247.67","247.41","2,00,66,077","4,96,44,76,858.52","1,01,086","95,49,788","47.59"
"ETERNAL","EQ","22-May-2026","242.05","243.18","245.80","241.21","242.80","241.95","243.07","2,35,37,777","5,72,13,12,153.61","1,34,927","1,26,38,838","53.70"
"ETERNAL","EQ","21-May-2026","243.34","245.70","247.91","241.56","241.80","242.05","244.19","2,16,76,835","5,29,33,61,091.77","1,87,804","1,02,67,872","47.37"
"ETERNAL","EQ","20-May-2026","247.21","243.00","245.68","242.30","243.50","243.34","243.97","2,34,20,943","5,71,39,24,970.51","1,70,688","1,28,96,923","55.07"
"ETERNAL","EQ","19-May-2026","241.40","240.02","249.85","238.70","246.10","247.21","245.61","3,30,45,253","8,11,63,34,029.69","1,62,178","1,45,65,005","44.08"
"ETERNAL","EQ","18-May-2026","241.18","238.18","242.35","233.61","240.81","241.40","237.67","2,68,27,499","6,37,60,82,920.38","2,18,586","1,18,73,213","44.26"
"ETERNAL","EQ","15-May-2026","245.82","245.00","245.72","240.41","241.00","241.18","243.14","1,82,79,677","4,44,44,93,606.13","1,21,134","84,26,710","46.10"
"ETERNAL","EQ","14-May-2026","237.82","239.49","246.55","237.80","245.39","245.82","242.72","2,99,73,731","7,27,51,12,986.77","1,68,724","1,43,39,262","47.84"
"ETERNAL","EQ","13-May-2026","239.98","238.10","241.80","236.39","238.13","237.82","239.17","3,16,15,154","7,56,14,97,260.42","1,69,957","1,38,57,536","43.83"
"ETERNAL","EQ","12-May-2026","245.87","245.87","247.45","239.35","240.75","239.98","242.26","2,48,67,007","6,02,43,71,158.83","1,80,947","1,10,60,300","44.48"
"ETERNAL","EQ","11-May-2026","256.39","253.31","253.70","245.00","246.05","245.87","247.51","3,35,52,537","8,30,47,41,020.66","2,31,257","1,73,67,678","51.76"
"ETERNAL","EQ","08-May-2026","257.42","255.81","257.40","252.60","256.15","256.39","255.14","1,76,18,369","4,49,51,22,427.84","1,30,654","73,80,610","41.89"
"ETERNAL","EQ","07-May-2026","256.05","258.00","260.52","256.37","257.60","257.42","257.99","2,58,33,825","6,66,49,69,378.20","1,74,839","1,10,79,199","42.89"
"ETERNAL","EQ","06-May-2026","248.47","251.99","256.80","249.70","255.90","256.05","253.11","3,30,05,769","8,35,40,45,331.23","1,94,917","1,56,12,971","47.30"
"ETERNAL","EQ","05-May-2026","251.90","251.00","253.35","245.75","249.10","248.47","248.60","2,84,98,223","7,08,47,48,429.80","2,61,435","97,43,134","34.19"
"ETERNAL","EQ","04-May-2026","247.03","247.00","252.95","245.00","251.86","251.90","249.37","4,08,85,798","10,19,58,76,363.89","1,92,873","1,89,82,360","46.43"